id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
31818,ZHGH,medium_airport,Guangzhou MR Air Base,32.38940048,111.6949997,,AS,CN,CN-42,Guanghua,0,ZHGH,LHK,,,,,50,2009-04-17T16:02:44+00:00
31610,ZGHY,small_airport,Hengyang Nanyue Airport,26.9053,112.627998,,AS,CN,CN-43,Hengyang,1,ZGHY,HNY,,,https://en.wikipedia.org/wiki/Hengyang_Nanyue_Airport,,50,2016-05-31T08:38:29+00:00
31819,ZULP,small_airport,Liangping Airport,30.679399,107.786003,,AS,CN,CN-50,Liangping,0,ZULP,LIA,,,https://en.wikipedia.org/wiki/Liangping_Airport,,50,2016-05-31T09:19:23+00:00
42466,CN-0002,medium_airport,Nanjing Air Base,31.99830055,118.8119965,,AS,CN,CN-32,Nanjing,0,,,,,,Dajiaochang,50,2009-04-17T07:27:07+00:00
32295,ZBSH,closed,Shanhaiguan Airport,39.968102,119.731003,30,AS,CN,CN-13,Qinhuangdao,0,ZBSH,,,,http://en.wikipedia.org/wiki/Qinhuangdao_Shanhaiguan_Airport,,50,2016-05-30T09:34:32+00:00
32235,ZSRG,medium_airport,Rugao Air Base,32.25788498,120.5016556,,AS,CN,CN-32,Rugao,0,ZSRG,RUG,,,,,50,2009-04-18T14:40:28+00:00
32406,ZWSS,medium_airport,Shanshan Airport,42.9117012,90.24749756,,AS,CN,CN-65,Shanshan,0,ZWSS,SXJ,,,,,50,2009-04-18T15:05:30+00:00
32296,ZHSS,small_airport,Shashi Airport,30.324289,112.279861,112,AS,CN,CN-42,Shashi,0,ZHSS,SHS,,,https://en.wikipedia.org/wiki/Shashi_Airport,,50,2016-06-02T08:58:18+00:00
32753,ZYYY,medium_airport,Shenyang Dongta Airport,41.78440094,123.4960022,,AS,CN,CN-21,Shenyang,0,ZYYY,,,,,,50,2009-04-18T17:10:29+00:00
32420,ZSSZ,medium_airport,Suzhou Guangfu Airport,31.2631,120.401001,,AS,CN,CN-32,Suzhou,0,ZSSZ,SZV,,,https://en.wikipedia.org/wiki/Suzhou_Guangfu_Airport,,50,2016-05-31T09:17:29+00:00
28144,ZWTC,small_airport,Tacheng Airport,46.67250061,83.34079742,,AS,CN,CN-65,Tacheng,0,ZWTC,TCG,,,http://en.wikipedia.org/wiki/Tacheng_Airport,,50,2008-07-14T08:45:12+00:00
32745,ZJYX,small_airport,Woody Island Airport,16.83279991,112.3440018,,AS,CN,CN-46,Woody Island,0,ZJYX,,,,http://en.wikipedia.org/wiki/Woody_Island%2C_South_China_Sea,"VH84, Yongxing Dao Airport",50,2009-08-07T09:45:25+00:00
32649,ZSWU,medium_airport,Wuhu Air Base,31.3906,118.408997,,AS,CN,CN-34,Wuhu,0,ZSWU,WHU,,,https://en.wikipedia.org/wiki/Wuhu_Airport,,50,2016-05-31T09:18:16+00:00
32701,ZGXN,small_airport,Xingning Airport,24.1492,115.758003,,AS,CN,CN-44,Xingning,0,ZGXN,XIN,,,https://en.wikipedia.org/wiki/Xingning_Air_Base,,50,2016-05-31T08:41:15+00:00
44094,CN-0018,medium_airport,Tangguantun Air Base,38.78110123,117.0680008,,AS,CN,CN-12,,0,,,,,,,0,2009-04-18T15:18:12+00:00
44097,CN-0021,medium_airport,Yangcun Air Base,39.37329865,117.0950012,,AS,CN,CN-12,,0,,,,,,Meichong,0,2009-04-18T15:19:19+00:00
44089,CN-0013,medium_airport,Fengning Air Base,41.26079941,116.6179962,,AS,CN,CN-13,,0,,,,,,,0,2009-04-17T07:42:00+00:00
44095,CN-0019,closed,Tangshan Air Base,39.65639877,118.1360016,,AS,CN,CN-13,,0,,,,,,,0,2009-04-18T09:10:25+00:00
44101,CN-0025,medium_airport,Zunhua Air Base,40.10250092,117.887001,,AS,CN,CN-13,,0,,,,,,,0,2009-04-18T09:09:22+00:00
44168,CN-0090,medium_airport,Cangxian Air Base,38.40250015,116.9290009,,AS,CN,CN-13,,0,,,,,,,0,2009-04-18T09:07:54+00:00
44172,CN-0094,medium_airport,Jiugucheng Air Base,37.49000168,116.1179962,,AS,CN,CN-13,,0,,,,,,,0,2009-04-18T09:07:27+00:00
44279,CN-0201,medium_airport,Pingquan Air Base,40.9007988,118.6809998,,AS,CN,CN-13,,0,,,,,,,0,2009-04-18T09:08:52+00:00
44096,CN-0020,medium_airport,Wenshui Air Base,37.40779877,111.9660034,,AS,CN,CN-14,,0,,,,,,,0,2009-04-18T15:25:22+00:00
44090,CN-0014,medium_airport,Hohhot Air Base,40.73720169,111.2289963,,AS,CN,CN-15,,0,,,,,,,0,2009-04-17T22:34:09+00:00
44265,CN-0187,medium_airport,Chifeng Air Base,42.15890121,118.8420029,,AS,CN,CN-15,,0,,,,,,,0,2009-04-16T20:47:33+00:00
322165,ZBMZ,medium_airport,Manzhouli Xijiao Airport,49.566667,117.33,2231,AS,CN,CN-15,,1,ZBMZ,NZH,,,https://en.wikipedia.org/wiki/Manzhouli_Xijiao_Airport,,0,2017-02-15T03:26:50+00:00
43972,CN-0003,medium_airport,Laohutun Air Base,39.66999817,121.7659988,,AS,CN,CN-21,,0,,,,,,,0,2009-04-16T19:45:13+00:00
43973,CN-0004,medium_airport,Pulandian Air Base,39.45090103,122.0179977,,AS,CN,CN-21,,0,,,,,,,0,2009-04-16T19:44:52+00:00
44182,CN-0104,medium_airport,Xingcheng Air Base,40.58029938,120.697998,30,AS,CN,CN-21,,0,ZYXC,XEN,,,,,0,2012-09-03T12:17:02+00:00
44269,CN-0191,medium_airport,Fuxin Air Base,42.07889938,121.6620026,,AS,CN,CN-21,,0,,,,,,,0,2009-04-17T07:46:00+00:00
44275,CN-0197,medium_airport,Kaiyuan Air Base,42.5257988,123.9820023,,AS,CN,CN-21,,0,,,,,,,0,2009-04-18T08:53:19+00:00
44287,CN-0209,medium_airport,Suizhong Air Base,40.2989006,120.3590012,,AS,CN,CN-21,,0,,,,,,,0,2009-04-18T17:13:32+00:00
44288,CN-0210,medium_airport,Tuchengzi Air Base,38.91220093,121.2389984,,AS,CN,CN-21,,0,,,,,,,0,2009-04-18T17:14:30+00:00
44290,CN-0212,closed,Yingchenzi/Xinzhaizi-Dalian Air Base,39.010601,121.389999,,AS,CN,CN-21,,0,,,,,,,0,2016-06-03T03:50:05+00:00
44263,CN-0185,medium_airport,Changchun Air Base,43.90530014,125.197998,,AS,CN,CN-22,,0,,,,,,,0,2009-04-16T20:42:27+00:00
44270,CN-0192,medium_airport,Gongzhuling Air Base,43.52420044,124.7860031,,AS,CN,CN-22,,0,,,,,,,0,2009-04-17T15:58:36+00:00
44286,CN-0208,medium_airport,Siping Air Base,43.1568985,124.2919998,,AS,CN,CN-22,,0,,,,,,,0,2009-04-18T17:12:39+00:00
44271,CN-0193,medium_airport,Harbin Air Base,45.59749985,126.6589966,,AS,CN,CN-23,,0,,,,,,Ping Fang Tien Air Base,0,2009-09-26T20:45:23+00:00
44276,CN-0198,medium_airport,Lalin Air Base,45.25939941,126.8949966,,AS,CN,CN-23,,0,,,,,,,0,2009-04-18T09:15:18+00:00
44285,CN-0207,small_airport,Shuangcheng Air Base,45.40779877,126.3190002,,AS,CN,CN-23,,0,,,,,,,0,2009-04-18T09:16:13+00:00
44167,CN-0089,medium_airport,Baitabu Air Base,34.57139969,118.875,,AS,CN,CN-32,,0,,,,,,,0,2009-04-16T20:32:00+00:00
44183,CN-0105,medium_airport,Xuzhou Daguozhang Air Base,34.05889893,117.5579987,,AS,CN,CN-32,,0,,,,,,,0,2009-04-18T09:27:49+00:00
44184,CN-0106,medium_airport,Xuzhou Jiulishan Air Base,34.23059845,117.2460022,,AS,CN,CN-32,,0,,,,,,,0,2009-04-18T09:26:51+00:00
